ID,ITEM,NOMBRE,LISTA,ID_FORMULA,1-COD,1-NOMBRE,1-CANTIDAD,2-COD,2-NOMBRE,2-CANTIDAD,3-COD,3-NOMBRE,3-CANTIDAD,4-COD,4-NOMBRE,4-CANTIDAD,5-COD,5-NOMBRE,5-CANTIDAD,6-COD,6-NOMBRE,6-CANTIDAD,7-COD,7-NOMBRE,7-CANTIDAD,8-COD,8-NOMBRE,8-CANTIDAD,9-COD,9-NOMBRE,9-CANTIDAD,10-COD,10-NOMBRE,10-CANTIDAD,11-COD,11-NOMBRE,11-CANTIDAD
c446b480,84,84-MF 17-6-18-2-1-CALFERQUIM 1-G,0,84-L00,12,12-UREA-CIAMSA 7-G,300,65,65-NUCLEO 4-CALFERQUIM 1-G,310,97,97-DAP-CIAMSA 4-G,110,144,144-KCL-DISAN 6-G,280,,,,,,,,,,,,,,,,,,,,,
245f896a,311,311-CALFERCORRECTIVO-CALFERQUIM 1-G,0,311-L00,5,5-SULFATO CALCIO-ANIBAL ARANGO 1-P,200,105,105-CARBONATO CALCIO-JAMAROL 3-P,100,120,120-CAL DOLOMITA-BM 1-P,100,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,350,290,290-ROCA FOSFORICA-26-PRACO 1-P,150,110,110-CAOLIN GRIS- 1-P,100,,,,,,,,,,,,,,,
2973a862,563,563-NUCLEO CAMASI YARA-CALFERQUIM 1-G,0,563-L00,74,74-KIESERITA-MANUCHAR 1-P,50,105,105-CARBONATO CALCIO-JAMAROL 3-P,600,370,370-BENTONITA GRIS-FERTICAUCA 3-P,250,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,100,,,,,,,,,,,,,,,,,,,,,
3326a6e0,141,141-FE SULFATO CALCIO P-CALFERQUIM 1-G,8,141-L08,74,74-KIESERITA-MANUCHAR 1-P,75,5,5-SULFATO CALCIO-ANIBAL ARANGO 1-P,750,105,105-CARBONATO CALCIO-JAMAROL 3-P,150,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,25,,,,,,,,,,,,,,,,,,,,,
67da16fc,300,300-K2K-CALFERQUIM 1-G,1,300-L01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6aa2a9c8,558,558-NUCLEO MAGNESIO-SILICIO EM-CALFERQUIM 1-G,4,558-L04,74,74-KIESERITA-MANUCHAR 1-P,50,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,900,111,111-BENTONITA ROJA-FERTICAUCA 4-P,50,,,,,,,,,,,,,,,,,,,,,,,,
b8888d93,65,65-NUCLEO 4-CALFERQUIM 1-G,3,65-L03,74,74-KIESERITA-MANUCHAR 1-P,100,05,5-SULFATO CALCIO-AGROINSUMOS 2-P,150,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,400,105,105-CARBONATO CALCIO-JAMAROL 3-P,250,120,120-CAL DOLOMITA-BM 1-P,100,,,,,,,,,,,,,,,,,,
224f518c,82,82-MF 25-4-24-CALFERQUIM 1-G,0,82-L00,12,12-UREA-CIAMSA 7-G,460,65,65-NUCLEO 4-CALFERQUIM 1-G,100,97,97-DAP-EVOAGRO 5-G,80,144,144-KCL-DISAN 6-G,360,,,,,,,,,,,,,,,,,,,,,
55d57aac,516,516-MF 14N-4P-24K+EM-CALFERQUIM 1-G,0,516-L00,12,12-UREA-CIAMSA 7-G,202,32,32-SAM-EVOAGRO 3-G,180,65,65-NUCLEO 4-CALFERQUIM 1-G,43,97,97-DAP-CIAMSA 4-G,15,144,144-KCL-DISAN 6-G,389,155,155-RAIFOS 20-CALFERQUIM 1-G,140,160,160-ZUELO CA-CALFERQUIM 1-G,30,450,450-CARBONITRO-CALFERQUIM 1-L,,,,,,,,,,
2bee200b,381,381-MF 14-3-19-7Ca+EM-CALFERQUIM 1-G,2,381-L02,12,12-UREA-CIAMSA 7-G,275,97,97-DAP-CIAMSA 4-G,55,144,144-KCL-DISAN 6-G,310,160,160-ZUELO CA-CALFERQUIM 1-G,125,161,161-FERTIMENORES-CALFERQUIM 1-P,100,65,65-NUCLEO 4-CALFERQUIM 1-G,135,450,450-CARBONITRO-CALFERQUIM 1-L,,,,,,,,,,,,,
ec36571f,564,564-SULFATO ZINC 30%-CALFERQUIM 1-G,0,564-L00,23,23-SULFATO DE ZINC 35%-IMPORTADO 2-P,900,74,,50,274,274-SILICATO MAGNESIO-JULIAN SALDARRIAGA 1-P,50,,,,,,,,,,,,,,,,,,,,,,,,
15fbab7a,997,997-SULFATO ZINC 22-CALFERQUIM 1-P,0,997-L00,23,23-SULFATO DE ZINC 35%-IMPORTADO 2-P,675,74,74-KIESERITA-MANUCHAR 1-P,50,105,105-CARBONATO CALCIO-JAMAROL 3-P,75,370,370-BENTONITA GRIS-COMERCIALIZADORA HA 4-P,200,,,,,,,,,,,,,,,,,,,,,
dbe09593,85,85-MF 15-15-15-CALFERQUIM 1-G,0,85-L00,12,12-UREA-CIAMSA 7-G,180,65,65-NUCLEO 4-CALFERQUIM 1-G,290,97,97-DAP-CIAMSA 4-G,300,144,144-KCL-DISAN 6-G,,,,,,,,,,,,,,,,,,,,,,
3968a38c,141,141-FE SULFATO CALCIO P-CALFERQUIM 1-G,9,141-L09,5,5-SULFATO CALCIO-ANIBAL ARANGO 1-P,750,74,74-KIESERITA-MANUCHAR 1-P,100,105,105-CARBONATO CALCIO-JAMAROL 3-P,150,,,,,,,,,,,,,,,,,,,,,,,,
